# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
bei zhu 	备注	c=6 d=1.04905 t=14672
ben 	本	c=13 d=0.0591195 t=16418
ben cao gang mu 	本草纲目	c=2 d=5.71662e-05 t=16418
ben di 	本地	c=7 d=0.0829133 t=16418
ben ke sheng 	本科生	c=1 d=4.255e-07 t=16418
ben lai 	本来	c=1 d=1 t=6319
ben ren 	本人	c=3 d=7.19413e-09 t=16418
ben yi wei 	本以为	c=1 d=0.000739157 t=16418
ben yue 	本月	c=1 d=1 t=16172
ben zhou 	本周	c=2 d=1 t=13492
ben zi 	本子	c=2 d=1.98511 t=6782
bi 	比	c=13 d=0.0273203 t=16418
bi 	毕	c=1 d=1 t=14201
bi bu liao 	比不了	c=1 d=1 t=12821
bi ji 	笔记	c=4 d=0.024284 t=16418
bi ji ben 	笔记本	c=3 d=0.00141589 t=16418
bi jiao 	比较	c=6 d=4.62482e-05 t=16418
bi jiao hao 	比较好	c=1 d=5.48998e-05 t=16418
bi jing 	毕竟	c=1 d=1.02072e-06 t=16418
bi mian 	避免	c=2 d=1.00001 t=13946
bi ni 	比你	c=1 d=1 t=8452
bi ru 	比如	c=7 d=0.640824 t=16418
bi shi 	笔试	c=2 d=1.03652 t=10718
bi tian 	必填	c=3 d=1.81555 t=7229
bi wo 	比我	c=2 d=0.526414 t=16418
bi wo men 	比我们	c=1 d=3.02859e-07 t=16418
bi xu 	必需	c=3 d=5.57296e-05 t=16418
bi xu 	必须	c=1 d=1 t=9076
bi ye 	毕业	c=3 d=2.40329e-07 t=16418
bi ye sheng 	毕业生	c=4 d=0.00061447 t=16418
bi ye zheng 	毕业证	c=1 d=1.19803e-08 t=16418
bi zhi 	壁纸	c=3 d=0.0498194 t=16418
bi zui 	闭嘴	c=1 d=1 t=12409
bian 	变	c=1 d=1 t=6359
bian 	边	c=2 d=1 t=16316
bian 	遍	c=1 d=1 t=10026
bian cheng 	变成	c=1 d=2.70004e-09 t=16418
bian cheng 	编程	c=1 d=0.000332125 t=16418
bian dong 	变动	c=1 d=1 t=5458
bian hua 	变化	c=2 d=1.97531 t=10051
bian ji 	编辑	c=2 d=1.27253 t=11594
bian jiang 	边疆	c=2 d=0.000262697 t=16418
bian li 	遍历	c=2 d=5.42742e-09 t=16418
bian liang 	变量	c=8 d=1.0522e-05 t=16418
bian ma 	编码	c=3 d=1.10016 t=15452
bian qian 	便签	c=2 d=1.14894e-09 t=16418
bian yu 	便于	c=2 d=1 t=14905
biao 	标	c=1 d=1 t=9086
biao 	表	c=74 d=2.31155 t=16418
biao da shi 	表达式	c=9 d=5.04262e-05 t=16418
biao dan 	表单	c=2 d=1 t=10860
biao ge 	表格	c=22 d=1.00053 t=14956
biao ji 	标记	c=1 d=1 t=11171
biao qian 	标签	c=1 d=1 t=4790
biao qing 	表情	c=0 d=0.0247833 t=16418
biao qing bao 	表情包	c=1 d=0.249075 t=16418
biao shang 	表上	c=1 d=1 t=7553
biao shi 	表示	c=1 d=1 t=11952
biao zhang 	表彰	c=1 d=1 t=12807
biao zhi 	标志	c=1 d=4.36346e-09 t=16418
biao zhong 	表中	c=2 d=1.78663 t=15890
biao zhun 	标准	c=4 d=0.00795325 t=16418
biao zhun dan bai zhi 	标准蛋白质	c=1 d=4.40582e-05 t=16418
bie ji 	别急	c=1 d=1 t=5576
bie ren 	别人	c=3 d=0.0100017 t=16418
bie xiang 	别想	c=1 d=1 t=5654
bin 	彬	c=3 d=0.136748 t=15942
bing 	并	c=9 d=0.133724 t=16418
bing bu shi 	并不是	c=1 d=1 t=8192
bing du 	病毒	c=1 d=1 t=12841
bing kuang 	病狂	c=1 d=0.0422141 t=16418
bing li 	病例	c=2 d=1.90484 t=12817
bing ru 	并入	c=1 d=1 t=7644
bo 	波	c=0 d=1.32746e-10 t=16418
bo fang 	播放	c=2 d=4.93169e-08 t=16418
bo si 	波斯	c=1 d=0.000163287 t=16418
bo si yu 	波斯语	c=1 d=9.42085e-05 t=16418
bu 	不	c=6 d=0.0013668 t=16418
bu 	布	c=1 d=1 t=6800
bu 	补	c=3 d=0.00062064 t=16418
bu 	部	c=19 d=0.11656 t=16418
bu an quan 	不安全	c=1 d=1 t=5862
bu bao han 	不包含	c=1 d=1 t=11995
bu bao kuo 	不包括	c=1 d=1 t=12765
bu chang 	不畅	c=1 d=1 t=5635
bu chao guo 	不超过	c=1 d=1 t=15410
bu cheng 	不成	c=1 d=0.0483156 t=16418
bu chi 	不吃	c=1 d=1 t=6388
bu chong 	补充	c=1 d=4.2985e-09 t=16418
bu chu 	不出	c=1 d=0.0204453 t=16418
bu chu lai 	不出来	c=0 d=1.43085e-10 t=16418
bu cuo 	不错	c=7 d=0.222871 t=16418
bu cuo le 	不错了	c=1 d=1 t=9295
bu da 	不大	c=1 d=0.290835 t=16418
bu dang 	不当	c=1 d=1 t=15006
bu dao 	不到	c=5 d=2.22645e-07 t=16418
bu dao 	补到	c=2 d=0.00701307 t=16418
bu dei 	不得	c=1 d=0.0262523 t=16418
bu diao 	不掉	c=1 d=1 t=12116
bu ding 	不定	c=0 d=0.1 t=5155
bu dong 	不动	c=1 d=1.00001 t=8035
bu dong 	不懂	c=1 d=1 t=4978
bu duan 	不断	c=1 d=1 t=7214
bu duo 	不多	c=1 d=1 t=6395
bu fa da 	不发达	c=1 d=4.18154e-08 t=16418
bu fan 	不返	c=1 d=1 t=6423
bu fen 	不分	c=1 d=1.43455e-10 t=16418
bu fen 	部分	c=7 d=0.187695 t=15320
bu gao 	不搞	c=1 d=1.71718e-08 t=16418
bu gao 	不高	c=1 d=0.00129402 t=16418
bu gou 	不够	c=4 d=0.0318461 t=16418
bu guo 	不过	c=5 d=1.21047 t=16418
bu guo qu 	不过去	c=1 d=1 t=12660
bu han yu 	不含于	c=2 d=1.99005 t=15435
bu hao 	不好	c=7 d=0.00195592 t=16418
bu hao yong 	不好用	c=1 d=1 t=6820
bu hao zhao 	不好找	c=1 d=1 t=12946
bu hui 	不会	c=11 d=2.28581 t=16418
bu hui 	不回	c=1 d=1 t=10022
bu ji 	不急	c=2 d=0.031273 t=16418
bu jia 	不加	c=1 d=1 t=9829
bu jian de 	不见得	c=1 d=1 t=5795
bu jian rong 	不兼容	c=1 d=1 t=5243
bu jin qu 	不进去	c=1 d=0.100051 t=11883
bu ju 	布局	c=2 d=1.98511 t=6890
bu kai 	不开	c=1 d=1 t=9555
bu kao 	补考	c=1 d=3.34767e-09 t=16418
bu ke 	补课	c=1 d=1 t=8339
bu ke neng 	不可能	c=1 d=1 t=6521
bu kui 	不亏	c=0 d=0.1 t=16039
bu lai 	不来	c=1 d=1.38163e-09 t=16418
bu liang 	不良	c=1 d=6.61781e-10 t=16418
bu liao 	不了	c=2 d=0.0152952 t=16418
bu liao guan 	不了官	c=1 d=1 t=5426
bu liao jie 	不了解	c=1 d=1.32061e-07 t=16418
bu man yi 	不满意	c=1 d=1 t=8302
bu men 	部门	c=6 d=1.00003 t=8682
bu mo 	不摸	c=1 d=1 t=5914
bu neng 	不能	c=13 d=1.00003 t=14938
bu qi 	不起	c=0 d=0.0180866 t=16418
bu qing chu 	不清楚	c=6 d=0.011766 t=16418
bu qu 	不去	c=1 d=4.10935e-09 t=16418
bu qu fen 	不区分	c=1 d=1.09228e-09 t=16418
bu quan 	补全	c=9 d=7.7518e-05 t=16418
bu que 	不缺	c=1 d=1.24994e-07 t=16418
bu ran 	不然	c=11 d=0.00151375 t=16418
bu rang 	不让	c=1 d=0.00148106 t=16418
bu rang zuo 	不让做	c=1 d=1 t=14030
bu rong 	不容	c=1 d=1 t=9495
bu rong yi 	不容易	c=2 d=3.38074e-08 t=16418
bu shang 	不上	c=2 d=1 t=11238
bu shang qu 	不上去	c=0 d=0.1 t=8879
bu shao 	不少	c=2 d=0.000177779 t=16418
bu shen 	不慎	c=1 d=0.00628242 t=16418
bu shi 	不是	c=20 d=0.027277 t=16418
bu shi he 	不适合	c=2 d=1 t=10773
bu shi ma 	不是吗	c=1 d=0.000841773 t=16418
bu shi shuo 	不是说	c=1 d=0.0349094 t=16418
bu shi yong 	不适用	c=1 d=0.00023056 t=16418
bu shu 	部署	c=7 d=1.666e-05 t=16418
bu shu fu 	不舒服	c=1 d=1 t=4709
bu shui jiao 	不睡觉	c=1 d=2.21595e-08 t=16418
bu shuo 	不说	c=0 d=0.1 t=5160
bu si 	不死	c=1 d=1 t=9279
bu suan 	不算	c=2 d=1 t=16053
bu tai 	不太	c=10 d=0.145303 t=16418
bu tie 	补贴	c=10 d=5.65752e-07 t=16418
bu tong 	不同	c=8 d=0.0112248 t=16418
bu wan 	不完	c=1 d=5.00707e-10 t=16418
bu wan 	不玩	c=2 d=1 t=12700
bu wei 	不畏	c=1 d=5.56141e-10 t=16418
bu xi guan 	不习惯	c=1 d=0.0143357 t=16418
bu xi huan 	不喜欢	c=1 d=0.00104368 t=16418
bu xi tong 	部系统	c=1 d=1 t=5813
bu xia qu 	不下去	c=0 d=0.1 t=12968
bu xiang 	不像	c=1 d=1 t=4920
bu xiang 	不想	c=4 d=0.360453 t=16418
bu xing 	不行	c=8 d=1.11069e-07 t=16418
bu yao 	不要	c=5 d=0.0998954 t=16418
bu yao qian 	不要钱	c=0 d=0.000305798 t=16418
bu yi 	不一	c=0 d=8.45993e-05 t=16418
bu yi 	不宜	c=1 d=1 t=12774
bu yi ding 	不一定	c=4 d=0.0008016 t=16418
bu yi zhi 	不一致	c=1 d=0.000271921 t=16418
bu yong 	不用	c=7 d=0.00114197 t=16418
bu zai 	不再	c=1 d=0.000411789 t=16418
bu zai 	不在	c=0 d=0.1 t=10891
bu zai yu 	不在于	c=1 d=1 t=10892
bu zen me 	不怎么	c=1 d=1.04152e-08 t=16418
bu zhang 	部长	c=1 d=1 t=7970
bu zheng chang 	不正常	c=2 d=1.02354e-09 t=16418
bu zhi 	不止	c=1 d=1 t=9396
bu zhi dao 	不知道	c=13 d=0.636447 t=16418
bu zhi yu 	不至于	c=1 d=0.353455 t=16418
bu zhou 	不周	c=1 d=1 t=4795
bu zhu 	不住	c=1 d=1 t=4723
bu zhu 	补助	c=4 d=1.96561 t=9347
bu zhuan qian 	不赚钱	c=1 d=1 t=6092
bu zu 	不足	c=1 d=3.5997e-10 t=16418
bu zuo 	不做	c=1 d=1 t=16113
cai 	才	c=11 d=0.020621 t=16418
cai 	菜	c=4 d=9.15125e-09 t=16418
cai dan 	菜单	c=6 d=1 t=11803
cai hao 	才好	c=1 d=0.806541 t=16418
cai hong 	彩虹	c=0 d=0.1 t=4764
cai hong liu hao 	彩虹六号	c=1 d=1 t=4765
cai lian 	采莲	c=1 d=1 t=13926
cai liao 	材料	c=15 d=1.34012 t=16418
cai liu 	彩六	c=6 d=0.0399208 t=16418
cai neng 	才能	c=2 d=1.07408e-06 t=16418
cai niao 	菜鸟	c=1 d=7.36496e-06 t=16418
cai niao gong ju 	菜鸟工具	c=1 d=6.7904e-06 t=16418
cai qie 	裁切	c=2 d=1.99501 t=13377
can 	惨	c=2 d=0.0204453 t=16418
can jia 	参加	c=2 d=0.00052572 t=16418
can kao 	参考	c=6 d=2.12213e-05 t=16418
can mou 	参谋	c=2 d=1.99501 t=7146
can shu 	参数	c=2 d=8.98765e-10 t=16418
cang ku 	仓库	c=1 d=1 t=15736
cao dan 	操蛋	c=1 d=1 t=9210
cao mu 	草木	c=0 d=2.3939e-06 t=16418
cao mu zi 	草木子	c=2 d=5.80301e-05 t=16418
cao tu 	草图	c=1 d=1 t=10630
cao zuo 	操作	c=3 d=0.0292564 t=16418
cao zuo xi tong 	操作系统	c=2 d=3.86071e-10 t=16418
ce jian 	侧键	c=1 d=1 t=12499
ce shi 	测试	c=33 d=0.0215742 t=16418
ce shi nei rong 	测试内容	c=1 d=1.58079e-05 t=16418
ce suo 	厕所	c=1 d=1 t=4788
ceng jing 	曾经	c=1 d=1 t=5960
ceng luan die zhang 	层峦叠嶂	c=1 d=7.65746e-08 t=16418
cha 	叉	c=4 d=3.23668e-07 t=16418
cha 	差	c=1 d=1 t=4702
cha 	插	c=1 d=1 t=9474
cha 	查	c=3 d=2.59469e-10 t=16418
cha bie 	差别	c=2 d=7.05048e-07 t=16418
cha bu duo 	差不多	c=2 d=0.606531 t=16418
cha chang 	茶场	c=1 d=1 t=15851
cha chong 	查重	c=1 d=1 t=11461
cha de 	差的	c=1 d=1 t=6502
cha dian 	差点	c=2 d=0.00647375 t=16418
cha dian 	插电	c=1 d=0.559898 t=16418
cha jian 	插件	c=2 d=1.14661 t=6827
cha kan 	查勘	c=24 d=1.22667 t=15667
cha kan 	查看	c=12 d=2.8622e-06 t=16418
cha shou 	查收	c=4 d=1.00114 t=15035
cha xun 	查询	c=12 d=0.0241131 t=16418
cha yi dian 	差一点	c=1 d=8.80818e-08 t=16418
chai 	拆	c=1 d=1 t=15132
chai fen 	拆分	c=2 d=0.00272578 t=16418
chai fen ding dan 	拆分订单	c=1 d=0.00458484 t=16418
chan pin 	产品	c=3 d=0.00230318 t=16418
chan sheng 	产生	c=1 d=1 t=4704
chan ye 	产业	c=2 d=4.06777e-07 t=16418
chang 	厂	c=1 d=0.474734 t=16418
chang 	长	c=1 d=5.18542e-11 t=16418
chang an 	长按	c=2 d=1.98511 t=15278
chang chun 	长春	c=4 d=1.00004 t=14473
chang gui 	常规	c=1 d=0.00207043 t=16418
chang jing 	场景	c=4 d=2.25317 t=14070
chang mian 	场面	c=1 d=1 t=5829
chang qi 	长期	c=5 d=0.000855018 t=16418
chang shi 	尝试	c=1 d=1 t=9297
chang shi jian 	长时间	c=1 d=5.21141e-10 t=16418
chang suo 	场所	c=2 d=1.956 t=12771
chang yong 	常用	c=3 d=7.33381e-10 t=16418
chao 	抄	c=1 d=1 t=6780
chao 	朝	c=1 d=1 t=16070
chao guo 	超过	c=3 d=0.100002 t=15409
chao hui 	朝晖	c=3 d=1.59666 t=14670
chao shang 	朝上	c=1 d=1 t=9481
chao shi 	超市	c=1 d=0.00215492 t=16418
chao shi 	超时	c=9 d=7.88156 t=11652
che 	车	c=4 d=0.00364281 t=16418
che hui 	撤回	c=1 d=1 t=14331
chen 	臣	c=1 d=1 t=15118
chen 	辰	c=1 d=0.100001 t=9501
chen 	陈	c=6 d=1.57501 t=15298
chen chen 	沉沉	c=1 d=0.895834 t=16418
chen jia 	陈家	c=1 d=1 t=14545
chen jie 	陈杰	c=1 d=1 t=12054
chen jin 	沉浸	c=1 d=1 t=5099
chen xiong 	陈雄	c=13 d=1.05099 t=13292
chen yi 	衬衣	c=0 d=0.1 t=5147
cheng 	呈	c=1 d=1 t=10048
cheng 	城	c=2 d=1.13003 t=15525
cheng 	成	c=1 d=1 t=15133
cheng 	称	c=1 d=2.06045e-05 t=16418
cheng 	程	c=1 d=1 t=12055
cheng ben 	成本	c=1 d=1 t=15364
cheng du 	程度	c=1 d=1 t=6977
cheng nuo 	承诺	c=4 d=0.778801 t=16418
cheng nuo ren 	承诺人	c=1 d=7.26644e-09 t=16418
cheng nuo shu 	承诺书	c=1 d=7.41323e-09 t=16418
cheng qu 	城区	c=32 d=1.04276 t=16277
cheng shi 	城市	c=1 d=1.03627e-07 t=16418
cheng shu 	成熟	c=2 d=0.00114808 t=16418
cheng xu 	程序	c=3 d=1 t=11862
cheng yu wang 	城域网	c=1 d=1 t=8087
chi 	吃	c=1 d=0.00472447 t=16418
chi bi 	赤壁	c=44 d=1.0179 t=16276
chi fan 	吃饭	c=7 d=2.38304e-07 t=16418
chi ji 	吃鸡	c=9 d=0.0472536 t=16418
chi ling 	赤伶	c=1 d=1.10326e-09 t=16418
chi xu 	持续	c=1 d=1 t=9057
chi yu 	吃鱼	c=1 d=1 t=6399
chong 	充	c=0 d=0.000267181 t=16418
chong 	冲	c=1 d=9.4713e-09 t=16418
chong 	虫	c=1 d=2.04593e-10 t=16418
chong 	重	c=1 d=1 t=14332
chong dian 	充电	c=1 d=1 t=13785
chong dong 	冲动	c=1 d=1 t=12944
chong fa 	重发	c=1 d=1 t=14336
chong fen 	充分	c=1 d=1 t=6364
chong fu 	重复	c=3 d=1.02405 t=13734
chong fu de 	重复的	c=1 d=1 t=13450
chong hua fei 	充话费	c=4 d=0.0111699 t=16418
chong jian 	重建	c=1 d=1 t=8263
chong xin 	重新	c=5 d=0.000147748 t=16418
chong yang 	崇阳	c=60 d=2.25651 t=15662
chong yu 	充裕	c=1 d=1 t=9315
chong zhi 	充值	c=6 d=0.00721826 t=16418
chong zhuang 	重装	c=1 d=0.00153381 t=16418
chou 	丑	c=1 d=1 t=9982
chou 	臭	c=0 d=2.01026e-10 t=16418
chou chou 	瞅瞅	c=3 d=0.045502 t=16418
chu 	出	c=5 d=0.00113062 t=16418
chu 	处	c=1 d=0.183599 t=16418
chu 	楚	c=1 d=1 t=10855
chu 	除	c=2 d=1 t=14806
chu chang 	出厂	c=1 d=1 t=5214
chu dian 	出点	c=1 d=1 t=14451
chu fei 	除非	c=1 d=2.22706e-08 t=16418
chu he 	出和	c=1 d=1.95019e-05 t=16418
chu he 	楚河	c=2 d=3.96954e-05 t=16418
chu lai 	出来	c=4 d=0.0211736 t=16418
chu le 	出了	c=2 d=5.37012e-10 t=16418
chu li 	处理	c=11 d=0.00120053 t=16418
chu li hou 	处理后	c=1 d=1 t=7597
chu qu 	出去	c=1 d=1.14809e-07 t=16418
chu shi 	处事	c=1 d=1 t=4794
chu shi hua 	初始化	c=1 d=1 t=6676
chu tou 	出头	c=2 d=1.089 t=16418
chu tu 	出图	c=3 d=1.08586 t=15681
chu xian 	出现	c=2 d=1 t=7755
chu yu 	处于	c=1 d=1 t=14926
chu zai 	处在	c=1 d=1 t=5786
chu zhuang 	出装	c=1 d=2.01026e-09 t=16418
chuan 	串	c=1 d=1 t=7009
chuan 	传	c=1 d=1 t=13773
chuan bo 	传播	c=1 d=1 t=12746
chuan liu 	串流	c=1 d=1 t=4555
chuan shu 	传输	c=2 d=1 t=15738
chuan tong 	传统	c=3 d=5.43782e-05 t=16418
chuan tou 	穿透	c=1 d=9.33029e-09 t=16418
chuang jian 	创建	c=2 d=5.98009e-06 t=16418
chuang kou 	窗口	c=1 d=1 t=6250
chun guang 	春光	c=1 d=1 t=4936
chun lan 	春兰	c=1 d=1 t=13202
ci 	次	c=3 d=0.000190063 t=16418
ci 	此	c=1 d=0.000215162 t=16418
ci chu 	此处	c=2 d=1.47951 t=7209
ci dian 	词典	c=2 d=1.842e-10 t=16418
ci hui 	词汇	c=2 d=0.000260084 t=16418
ci le 	辞了	c=1 d=0.000536738 t=16418
ci pan 	磁盘	c=3 d=1.80955 t=8193
ci pan guan li 	磁盘管理	c=1 d=1 t=8053
ci shu 	次数	c=1 d=1 t=6394
ci wang zhan 	此网站	c=1 d=1.26861e-05 t=16418
ci zhi 	辞职	c=1 d=0.0520787 t=16418
ci zhuan 	瓷砖	c=1 d=1 t=10129
cong 	从	c=17 d=0.408608 t=16418
cong bu 	从不	c=1 d=0.0461896 t=16418
cong ci 	从此	c=1 d=0.467666 t=16418
cong nei 	从内	c=1 d=1 t=5857
cong ru men 	从入门	c=1 d=1.90761e-10 t=16418
cou 	凑	c=1 d=1 t=4840
cou qi 	凑齐	c=1 d=7.52398e-07 t=16418
cu lve 	粗略	c=1 d=1 t=13434
cun 	存	c=2 d=0.00767835 t=16418
cun 	寸	c=1 d=0.0225956 t=16418
cun 	村	c=40 d=2.18483 t=16298
cun chu 	存储	c=3 d=0.0712434 t=16418
cun luo 	村落	c=2 d=1.01174 t=13352
cun wei 	村委	c=0 d=0.1 t=11433
cun wei hui 	村委会	c=3 d=1.99502 t=15290
cun xia 	存下	c=1 d=1 t=5658
cun zai 	存在	c=4 d=9.79879e-06 t=16418
cun zu 	村组	c=1 d=1 t=13638
cuo 	错	c=5 d=0.0765355 t=16418
cuo le 	错了	c=2 d=1 t=15909
cuo lou 	错漏	c=1 d=1 t=7158
cuo wu 	错误	c=6 d=7.93158e-07 t=16418
cuo wu zhi 	错误值	c=1 d=1 t=7603
da 	大	c=3 d=0.00018143 t=16418
da 	打	c=10 d=0.0639723 t=16418
da 	搭	c=1 d=1.95557e-08 t=16418
da biao 	达标	c=1 d=1 t=11654
da bing 	大病	c=1 d=1 t=4784
da bu 	打不	c=0 d=0.1 t=5042
da bu dong 	打不动	c=1 d=1 t=5043
da bu fen 	大部分	c=2 d=1.04832 t=8437
da bu guo 	打不过	c=3 d=0.0108905 t=16418
da bu kai 	打不开	c=4 d=0.0192547 t=16418
da cheng shi 	大城市	c=1 d=6.57382e-07 t=16418
da da 	大大	c=1 d=1.28823e-09 t=16418
da dao 	大道	c=1 d=1 t=10911
da de 	大的	c=2 d=1.90032 t=6263
da de 	打得	c=2 d=0.0297478 t=16418
da dian hua 	打电话	c=1 d=1 t=14224
da dou 	大豆	c=2 d=0.000102991 t=16418
da dou dan bai 	大豆蛋白	c=1 d=5.27472e-05 t=16418
da dou fen 	大豆粉	c=1 d=4.84489e-05 t=16418
da dou han you 	大豆含有	c=1 d=2.88039e-05 t=16418
da duan 	大段	c=1 d=2.71357e-09 t=16418
da duo 	大多	c=1 d=1 t=8230
da fu 	答复	c=1 d=1 t=10466
da gai 	大概	c=3 d=0.00230495 t=16418
da gang 	大纲	c=0 d=0.1 t=9695
da gang bi ji 	大纲笔记	c=1 d=1 t=9696
da ge 	大哥	c=2 d=1 t=13137
da ge 	打个	c=4 d=1 t=15339
da hui 	大会	c=1 d=1 t=12808
da jia 	大家	c=5 d=1.04279 t=15873
da ka 	打卡	c=1 d=1 t=9142
da kai 	打开	c=5 d=0.000254808 t=16418
da keng 	大坑	c=1 d=0.1 t=15215
da le 	大了	c=1 d=1 t=4909
da le 	打了	c=1 d=1.00813e-07 t=16418
da liang 	大量	c=0 d=0.1 t=14852
